테마분류,코스 아이디,관광지 아이디,지역 아이디,관광지명,경도(도),위도(도),코스순서,이동시간,실내구분,테마명
TH05,77,7701,1111054000,(서울)장충단공원(수표교),127.004762,37.558747,1,0,실외,종교/역사/전통
TH05,77,7702,1111054000,(서울)서울 한양도성,126.989299,37.589352,2,1,실외,종교/역사/전통
TH01,77,7703,1117051000,(서울)국립극장,126.999861,37.552621,3,2,실내,문화/예술
TH05,77,7704,1117051000,(서울)봉수대,126.987599,37.551743,4,2,실외,종교/역사/전통
TH05,77,7705,1117051000,(서울)N서울타워,126.989146,37.55093,5,3,실외,종교/역사/전통
TH05,77,7706,1117051000,(서울)안중근의사기념관,126.980389,37.553476,6,3,실내,종교/역사/전통
TH05,78,7801,1111054000,(서울)북촌문화센터,126.986411,37.579041,1,0,실내,종교/역사/전통
TH05,78,7802,1111054000,(서울)가회동 11번지 한옥촌,126.986651,37.583383,2,1,실외,종교/역사/전통
TH05,78,7803,1111054000,(서울)한상수자수공방,126.985617,37.582748,3,1,실내,종교/역사/전통
TH05,78,7804,1111054000,(서울)가회민화박물관,126.985668,37.582099,4,2,실내,종교/역사/전통
TH05,78,7805,1111054000,(서울)가회동 31번지 한옥촌,126.983766,37.583644,5,2,실외,종교/역사/전통
TH05,78,7806,1111054000,(서울)북촌생활사박물관,126.982992,37.584452,6,3,실내,종교/역사/전통
TH05,79,7901,4275025001,(영월)장릉,128.454302,37.195783,1,0,실외,종교/역사/전통
TH03,79,7902,4277032001,(정선)민둥산,128.774887,37.270854,2,4,실외,자연/힐링
TH06,79,7903,4277025300,(정선)강원랜드 카지노 체험,128.847327,37.202392,3,8,실내,쇼핑/놀이
TH03,79,7904,4219058500,(태백)태백산,128.91524,37.095739,4,12,실외,자연/힐링
TH05,80,8001,4215036001,(강릉)한과 체험 전시관,128.830616,37.812401,1,0,실내,종교/역사/전통
TH05,80,8002,4215055000,(강릉)오죽헌 ,128.87739,37.779269,2,2,실외,종교/역사/전통
TH03,80,8003,4215052000,(강릉)경포대,128.896555,37.795126,3,4,실외,자연/힐링
TH05,80,8004,4283035002,(양양)낙산사,128.628045,38.124616,4,6,실외,종교/역사/전통
TH03,80,8005,4283034000,(양양)휴휴암 ,128.767544,37.961018,5,8,실외,자연/힐링
TH06,80,8006,4283035000,(양양)물치항회센터,128.610086,38.156032,6,10,실내,쇼핑/놀이
TH05,81,8101,4213039001,(원주)용소막성당,128.087408,37.212283,1,0,실내,종교/역사/전통
TH02,81,8102,4275025001,(영월)당나귀 타는 원시마을,128.402223,37.194594,2,3,실외,체험/학습/산업
TH03,81,8103,4219058500,(태백)태백산,128.91524,37.095739,3,9,실외,자연/힐링
TH03,82,8201,4279032001,(화천)연꽃단지,127.652056,38.040576,1,0,실외,자연/힐링
TH03,82,8202,4279033001,(화천)감성마을,127.516288,38.166527,2,1,실외,자연/힐링
TH03,82,8203,4279025001,(화천)평화의 댐,127.847772,38.212018,3,1,실외,자연/힐링
TH03,82,8204,4211040000,(춘천)강촌유원지,127.634176,37.814211,4,3,실외,자연/힐링
TH03,82,8205,4211040002,(춘천)문배마을,127.602874,37.790713,5,6,실외,자연/힐링
TH03,82,8206,4182025000,(가평)남이섬,127.525542,37.791354,6,7,실외,자연/힐링
TH02,82,8207,4275025000,(영월)별마로천문대,128.486723,37.198358,7,9,실내,체험/학습/산업
TH06,83,8301,4277025000,(정선)정선5일장,128.664513,37.380941,1,0,실외,쇼핑/놀이
